0,1,2,3,4,5,9,10,11,15,16,17
,,,2025,2025,2025.0,2024,2024,2024.0,2023,2023,2023.0
Federal:,Federal:,Federal:,,,,,,,,,
Current,Current,Current,$,11487,,$,5571,,$,9445,
Deferred,Deferred,Deferred,"(1,804)","(1,804)",,"(3,080)","(3,080)",,"(3,644)","(3,644)",
Total,Total,Total,9683,9683,,2491,2491,,5801,5801,
State:,State:,State:,,,,,,,,,
Current,Current,Current,1680,1680,,1726,1726,,1570,1570,
Deferred,Deferred,Deferred,(139),(139),,(298),(298),,(49),(49),
Total,Total,Total,1541,1541,,1428,1428,,1521,1521,
Foreign:,Foreign:,Foreign:,,,,,,,,,
Current,Current,Current,8891,8891,,25483,25483,,8750,8750,
Deferred,Deferred,Deferred,604,604,,347,347,,669,669,
Total,Total,Total,9495,9495,,25830,25830,,9419,9419,
Provision for income taxes,Provision for income taxes,Provision for income taxes,$,20719,,$,29749,,$,16741,
