0,1,2,6,7,8,12,13,14,18,19,20
Lease-Related Assets and Liabilities,Lease-Related Assets and Liabilities,Lease-Related Assets and Liabilities,Financial Statement Line Items,Financial Statement Line Items,Financial Statement Line Items,2025,2025.0,2025.0,2024,2024.0,2024.0
Right-of-use assets:,Right-of-use assets:,Right-of-use assets:,,,,,,,,,
Operating leases,Operating leases,Operating leases,Other non-current assets,Other non-current assets,Other non-current assets,$,11205.0,,$,10234.0,
Finance leases,Finance leases,Finance leases,"Property, plant and equipment, net","Property, plant and equipment, net","Property, plant and equipment, net",1033,1033.0,,1069,1069.0,
Total right-of-use assets,Total right-of-use assets,Total right-of-use assets,,,,$,12238.0,,$,11303.0,
Lease liabilities:,Lease liabilities:,Lease liabilities:,,,,,,,,,
Operating leases,Operating leases,Operating leases,Other current liabilities,Other current liabilities,Other current liabilities,$,1579.0,,$,1488.0,
,,,Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,10911,10911.0,,10046,10046.0,
Finance leases,Finance leases,Finance leases,Other current liabilities,Other current liabilities,Other current liabilities,538,538.0,,144,144.0,
,,,Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,692,692.0,,752,752.0,
Total lease liabilities,Total lease liabilities,Total lease liabilities,,,,$,13720.0,,$,12430.0,
