0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 27, 2025","September 27, 2025","September 27, 2025",,,,"September 28, 2024","September 28, 2024","September 28, 2024",,,,"September 30, 2023","September 30, 2023","September 30, 2023"
"Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances","Total shareholders’ equity, beginning balances",$,56950,,,,,$,62146,,,,,$,50672,
Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,Common stock and additional paid-in capital:,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,83276,83276,,,,,73812,73812,,,,,64849,64849,
Common stock issued,Common stock issued,Common stock issued,1498,1498,,,,,1423,1423,,,,,1346,1346,
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,"(4,452)","(4,452)",,,,,"(3,993)","(3,993)",,,,,"(3,521)","(3,521)",
Share-based compensation,Share-based compensation,Share-based compensation,13246,13246,,,,,12034,12034,,,,,11138,11138,
Ending balances,Ending balances,Ending balances,93568,93568,,,,,83276,83276,,,,,73812,73812,
Accumulated deficit:,Accumulated deficit:,Accumulated deficit:,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,"(19,154)","(19,154)",,,,,(214),(214),,,,,"(3,068)","(3,068)",
Net income,Net income,Net income,112010,112010,,,,,93736,93736,,,,,96995,96995,
Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,Dividends and dividend equivalents declared,"(15,413)","(15,413)",,,,,"(15,218)","(15,218)",,,,,"(14,996)","(14,996)",
Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,Common stock withheld related to net share settlement of equity awards,"(1,655)","(1,655)",,,,,"(1,612)","(1,612)",,,,,"(2,099)","(2,099)",
Common stock repurchased,Common stock repurchased,Common stock repurchased,"(90,052)","(90,052)",,,,,"(95,846)","(95,846)",,,,,"(77,046)","(77,046)",
Ending balances,Ending balances,Ending balances,"(14,264)","(14,264)",,,,,"(19,154)","(19,154)",,,,,(214),(214),
Accumulated other comprehensive loss:,Accumulated other comprehensive loss:,Accumulated other comprehensive loss:,,,,,,,,,,,,,,,
Beginning balances,Beginning balances,Beginning balances,"(7,172)","(7,172)",,,,,"(11,452)","(11,452)",,,,,"(11,109)","(11,109)",
Other comprehensive income/(loss),Other comprehensive income/(loss),Other comprehensive income/(loss),1601,1601,,,,,4280,4280,,,,,(343),(343),
Ending balances,Ending balances,Ending balances,"(5,571)","(5,571)",,,,,"(7,172)","(7,172)",,,,,"(11,452)","(11,452)",
"Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances","Total shareholders’ equity, ending balances",$,73733,,,,,$,56950,,,,,$,62146,
Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,Dividends and dividend equivalents declared per share or RSU,$,1.02,,,,,$,0.98,,,,,$,0.94,
