0,1,2,3,4,5,6,7,8,9,10,11
,,,"September 27, 2025","September 27, 2025","September 27, 2025",,,,"September 28, 2024","September 28, 2024","September 28, 2024"
ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:
Current assets:,Current assets:,Current assets:,,,,,,,,,
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,$,35934,,,,,$,29943,
Marketable securities,Marketable securities,Marketable securities,18763,18763,,,,,35228,35228,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net",39777,39777,,,,,33410,33410,
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,33180,33180,,,,,32833,32833,
Inventories,Inventories,Inventories,5718,5718,,,,,7286,7286,
Other current assets,Other current assets,Other current assets,14585,14585,,,,,14287,14287,
Total current assets,Total current assets,Total current assets,147957,147957,,,,,152987,152987,
Non-current assets:,Non-current assets:,Non-current assets:,,,,,,,,,
Marketable securities,Marketable securities,Marketable securities,77723,77723,,,,,91479,91479,
"Property, plant and equipment, net","Property, plant and equipment, net","Property, plant and equipment, net",49834,49834,,,,,45680,45680,
Other non-current assets,Other non-current assets,Other non-current assets,83727,83727,,,,,74834,74834,
Total non-current assets,Total non-current assets,Total non-current assets,211284,211284,,,,,211993,211993,
Total assets,Total assets,Total assets,$,359241,,,,,$,364980,
LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:
Current liabilities:,Current liabilities:,Current liabilities:,,,,,,,,,
Accounts payable,Accounts payable,Accounts payable,$,69860,,,,,$,68960,
Other current liabilities,Other current liabilities,Other current liabilities,66387,66387,,,,,78304,78304,
Deferred revenue,Deferred revenue,Deferred revenue,9055,9055,,,,,8249,8249,
Commercial paper,Commercial paper,Commercial paper,7979,7979,,,,,9967,9967,
Term debt,Term debt,Term debt,12350,12350,,,,,10912,10912,
Total current liabilities,Total current liabilities,Total current liabilities,165631,165631,,,,,176392,176392,
Non-current liabilities:,Non-current liabilities:,Non-current liabilities:,,,,,,,,,
Term debt,Term debt,Term debt,78328,78328,,,,,85750,85750,
Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,41549,41549,,,,,45888,45888,
Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,119877,119877,,,,,131638,131638,
Total liabilities,Total liabilities,Total liabilities,285508,285508,,,,,308030,308030,
Commitments and contingencies,Commitments and contingencies,Commitments and contingencies,,,,,,,,,
Shareholders’ equity:,Shareholders’ equity:,Shareholders’ equity:,,,,,,,,,
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 14,773,260 and 15,116,786 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 14,773,260 and 15,116,786 shares issued and outstanding, respectively","Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 shares authorized; 14,773,260 and 15,116,786 shares issued and outstanding, respectively",93568,93568,,,,,83276,83276,
Accumulated deficit,Accumulated deficit,Accumulated deficit,"(14,264)","(14,264)",,,,,"(19,154)","(19,154)",
Accumulated other comprehensive loss,Accumulated other comprehensive loss,Accumulated other comprehensive loss,"(5,571)","(5,571)",,,,,"(7,172)","(7,172)",
Total shareholders’ equity,Total shareholders’ equity,Total shareholders’ equity,73733,73733,,,,,56950,56950,
Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,$,359241,,,,,$,364980,
