0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 27, 2025","September 27, 2025","September 27, 2025",,,,"September 28, 2024","September 28, 2024","September 28, 2024",,,,"September 30, 2023","September 30, 2023","September 30, 2023"
"Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances","Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances","Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances",$,29943,,,,,$,30737,,,,,$,24977,
Operating activities:,Operating activities:,Operating activities:,,,,,,,,,,,,,,,
Net income,Net income,Net income,112010,112010,,,,,93736,93736,,,,,96995,96995,
Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,,,,,,,,,,,,,,,
Depreciation and amortization,Depreciation and amortization,Depreciation and amortization,11698,11698,,,,,11445,11445,,,,,11519,11519,
Share-based compensation expense,Share-based compensation expense,Share-based compensation expense,12863,12863,,,,,11688,11688,,,,,10833,10833,
Other,Other,Other,(89),(89),,,,,"(2,266)","(2,266)",,,,,"(2,227)","(2,227)",
Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,,,,,,,,,,,,,,,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net","(6,682)","(6,682)",,,,,"(3,788)","(3,788)",,,,,"(1,688)","(1,688)",
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,(347),(347),,,,,"(1,356)","(1,356)",,,,,1271,1271,
Inventories,Inventories,Inventories,1400,1400,,,,,"(1,046)","(1,046)",,,,,"(1,618)","(1,618)",
Other current and non-current assets,Other current and non-current assets,Other current and non-current assets,"(9,197)","(9,197)",,,,,"(11,731)","(11,731)",,,,,"(5,684)","(5,684)",
Accounts payable,Accounts payable,Accounts payable,902,902,,,,,6020,6020,,,,,"(1,889)","(1,889)",
Other current and non-current liabilities,Other current and non-current liabilities,Other current and non-current liabilities,"(11,076)","(11,076)",,,,,15552,15552,,,,,3031,3031,
Cash generated by operating activities,Cash generated by operating activities,Cash generated by operating activities,111482,111482,,,,,118254,118254,,,,,110543,110543,
Investing activities:,Investing activities:,Investing activities:,,,,,,,,,,,,,,,
Purchases of marketable securities,Purchases of marketable securities,Purchases of marketable securities,"(24,407)","(24,407)",,,,,"(48,656)","(48,656)",,,,,"(29,513)","(29,513)",
Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,40907,40907,,,,,51211,51211,,,,,39686,39686,
Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,12890,12890,,,,,11135,11135,,,,,5828,5828,
"Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","(12,715)","(12,715)",,,,,"(9,447)","(9,447)",,,,,"(10,959)","(10,959)",
Other,Other,Other,"(1,480)","(1,480)",,,,,"(1,308)","(1,308)",,,,,"(1,337)","(1,337)",
Cash generated by investing activities,Cash generated by investing activities,Cash generated by investing activities,15195,15195,,,,,2935,2935,,,,,3705,3705,
Financing activities:,Financing activities:,Financing activities:,,,,,,,,,,,,,,,
Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,"(5,960)","(5,960)",,,,,"(5,441)","(5,441)",,,,,"(5,431)","(5,431)",
Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,"(15,421)","(15,421)",,,,,"(15,234)","(15,234)",,,,,"(15,025)","(15,025)",
Repurchases of common stock,Repurchases of common stock,Repurchases of common stock,"(90,711)","(90,711)",,,,,"(94,949)","(94,949)",,,,,"(77,550)","(77,550)",
"Proceeds from issuance of term debt, net","Proceeds from issuance of term debt, net","Proceeds from issuance of term debt, net",4481,4481,,,,,—,—,,,,,5228,5228,
Repayments of term debt,Repayments of term debt,Repayments of term debt,"(10,932)","(10,932)",,,,,"(9,958)","(9,958)",,,,,"(11,151)","(11,151)",
"Proceeds from/(Repayments of) commercial paper, net","Proceeds from/(Repayments of) commercial paper, net","Proceeds from/(Repayments of) commercial paper, net","(2,032)","(2,032)",,,,,3960,3960,,,,,"(3,978)","(3,978)",
Other,Other,Other,(111),(111),,,,,(361),(361),,,,,(581),(581),
Cash used in financing activities,Cash used in financing activities,Cash used in financing activities,"(120,686)","(120,686)",,,,,"(121,983)","(121,983)",,,,,"(108,488)","(108,488)",
"Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents","Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents","Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents",5991,5991,,,,,(794),(794),,,,,5760,5760,
"Cash, cash equivalents, and restricted cash and cash equivalents, ending balances","Cash, cash equivalents, and restricted cash and cash equivalents, ending balances","Cash, cash equivalents, and restricted cash and cash equivalents, ending balances",$,35934,,,,,$,29943,,,,,$,30737,
Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,,,,,,,,,,,,,,,
"Cash paid for income taxes, net","Cash paid for income taxes, net","Cash paid for income taxes, net",$,43369,,,,,$,26102,,,,,$,18679,
